Optimal path [nodeId(time to the node):
17(0) -> 25(153) -> 56(139) -> 81(127) -> 89(149) -> 72(176) -> 10(159) -> 32(124) -> 98(128) -> 85(132) -> 71(143) -> 39(144) -> 33(122) -> 66(149) -> 4(143) -> 1(145) -> 29(165) -> 14(149) -> 9(128) -> 77(141) -> 47(154) -> 8(123) -> 52(137) -> 2(147) -> 93(131) -> 97(130) -> 18(129) -> 57(132) -> 62(150) -> 34(129) -> 90(134) -> 6(132) -> 28(117) -> 50(136) -> 63(133) -> 69(124) -> 42(125) -> 74(122) -> 20(136) -> 43(119) -> 70(126) -> 53(122) -> 51(122) -> 64(132) -> 88(127) -> 46(137) -> 19(162) -> 5(144) -> 27(115) -> 24(140) -> 15(140) -> 22(121) -> 45(144) -> 55(129) -> 54(119) -> 49(151) -> 38(128) -> 73(133) -> 58(123) -> 99(133) -> 59(139) -> 26(136) -> 13(123) -> 36(142) -> 30(129) -> 79(148) -> 86(157) -> 37(132) -> 23(140) -> 87(151) -> 80(119) -> 68(129) -> 65(144) -> 84(140) -> 83(127) -> 0(132) -> 7(117) -> 92(143) -> 35(129) -> 40(125) -> 82(148) -> 67(131) -> 41(118) -> 16(120) -> 48(137) -> 94(137) -> 75(111) -> 44(135) -> 60(123) -> 31(117) -> 76(129) -> 12(147) -> 3(138) -> 61(130) -> 11(129) -> 91(140) -> 78(129) -> 96(137) -> 21(140) -> 95(132)
Total time of delivery: 13334
The cost function value: 2483842

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 4954351 --> [91.1921339564293%]
Healthy residents: 478520 --> [8.807866043570701%]
Vaccinated residents478520 --> [8.807866043570701%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
25 67586 5 67581 67581
56 80108 29 80079 80079
81 89526 126 89400 89400
89 68284 707 67577 67577
72 90063 5404 84659 84659
10 95932 33923 62009 62009
32 59165 59165 0 0
98 93006 93006 0 0
85 44972 44972 0 0
71 23666 23666 0 0
39 32804 32804 0 0
33 13135 13135 0 0
66 26230 26230 0 0
4 56018 56018 0 0
1 49456 49456 0 0
29 15814 15814 0 0
14 81887 81887 0 0
9 60305 60305 0 0
77 28452 28452 0 0
47 98952 98952 0 0
8 45160 45160 0 0
52 63153 63153 0 0
2 43074 43074 0 0
93 39916 39916 0 0
97 86845 86845 0 0
18 16978 16978 0 0
57 39724 39724 0 0
62 19500 19500 0 0
34 28894 28894 0 0
90 80008 80008 0 0
6 12672 12672 0 0
28 91749 91749 0 0
50 30829 30829 0 0
63 51706 51706 0 0
69 66112 66112 0 0
42 68898 68898 0 0
74 81649 81649 0 0
20 48774 48774 0 0
43 79446 79446 0 0
70 36163 36163 0 0
53 61988 61988 0 0
51 94699 94699 0 0
64 22353 22353 0 0
88 37474 37474 0 0
46 73816 73816 0 0
19 87851 87851 0 0
5 15364 15364 0 0
27 80174 80174 0 0
