Optimal path [nodeId(time to the node):
7(0) -> 2(119) -> 4(138) -> 8(137) -> 6(135) -> 9(147) -> 1(136) -> 0(137) -> 3(138) -> 5(139)
Total time of delivery: 1226
The cost function value: 1226

Statistics at the end of simulation: 
Residents: 405877
Illness cases: 108172 --> [26.651423953562286%]
Healthy residents: 297705 --> [73.34857604643771%]
Vaccinated residents297705 --> [73.34857604643771%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
7 90816 1 90815 90815
2 16497 3 16494 16494
4 13139 19 13120 13120
8 70500 94 70406 70406
6 18679 450 18229 18229
9 55772 2463 53309 53309
1 19022 11856 7166 7166
0 85881 57715 28166 28166
3 12009 12009 0 0
5 23562 23562 0 0

Statistics step by step: 
minute residentsNumber illnessCases healthyResidents vaccinated
0 405877 10 405867 90815
10 405877 10 405867 90815
20 405877 10 405867 90815
30 405877 10 405867 90815
40 405877 10 405867 90815
50 405877 10 405867 90815
60 405877 19 405858 90815
70 405877 19 405858 90815
80 405877 19 405858 90815
90 405877 19 405858 90815
100 405877 28 405849 90815
110 405877 28 405849 90815
120 405877 36 405841 107309
130 405877 36 405841 107309
140 405877 44 405833 107309
150 405877 44 405833 107309
160 405877 52 405825 107309
170 405877 60 405817 107309
180 405877 68 405809 107309
190 405877 68 405809 107309
200 405877 84 405793 107309
210 405877 92 405785 107309
220 405877 100 405777 107309
230 405877 116 405761 107309
240 405877 132 405745 107309
250 405877 140 405737 107309
260 405877 163 405714 120429
270 405877 177 405700 120429
280 405877 198 405679 120429
290 405877 219 405658 120429
300 405877 247 405630 120429
310 405877 268 405609 120429
320 405877 303 405574 120429
330 405877 338 405539 120429
340 405877 373 405504 120429
350 405877 422 405455 120429
360 405877 471 405406 120429
370 405877 520 405357 120429
380 405877 583 405294 120429
390 405877 653 405224 120429
400 405877 723 405154 190835
410 405877 801 405076 190835
420 405877 885 404992 190835
430 405877 975 404902 190835
440 405877 1083 404794 190835
450 405877 1203 404674 190835
460 405877 1335 404542 190835
470 405877 1485 404392 190835
480 405877 1653 404224 190835
490 405877 1839 404038 190835
500 405877 2049 403828 190835
510 405877 2289 403588 190835
520 405877 2553 403324 190835
530 405877 2847 403030 209064
540 405877 3127 402750 209064
550 405877 3437 402440 209064
560 405877 3792 402085 209064
570 405877 4187 401690 209064
580 405877 4627 401250 209064
590 405877 5127 400750 209064
600 405877 5687 400190 209064
610 405877 6312 399565 209064
620 405877 7017 398860 209064
630 405877 7807 398070 209064
640 405877 8692 397185 209064
650 405877 9687 396190 209064
660 405877 10807 395070 209064
670 405877 12057 393820 209064
680 405877 13350 392527 262373
690 405877 14614 391263 262373
700 405877 16030 389847 262373
710 405877 17626 388251 262373
720 405877 19414 386463 262373
730 405877 21418 384459 262373
740 405877 23670 382207 262373
750 405877 26198 379679 262373
760 405877 29034 376843 262373
770 405877 32222 373655 262373
780 405877 35798 370079 262373
790 405877 39810 366067 262373
800 405877 44314 361563 262373
810 405877 49370 356507 262373
820 405877 52901 352976 269539
830 405877 56087 349790 269539
840 405877 59663 346214 269539
850 405877 63675 342202 269539
860 405877 68179 337698 269539
870 405877 73235 332642 269539
880 405877 76464 329413 269539
890 405877 79649 326228 269539
900 405877 83225 322652 269539
910 405877 87237 318640 269539
920 405877 91742 314135 269539
930 405877 96797 309080 269539
940 405877 102472 303405 269539
950 405877 108172 297705 297705
960 405877 108172 297705 297705
970 405877 108172 297705 297705
980 405877 108172 297705 297705
990 405877 108172 297705 297705
1000 405877 108172 297705 297705
1010 405877 108172 297705 297705
1020 405877 108172 297705 297705
1030 405877 108172 297705 297705
1040 405877 108172 297705 297705
1050 405877 108172 297705 297705
1060 405877 108172 297705 297705
1070 405877 108172 297705 297705
1080 405877 108172 297705 297705
1090 405877 108172 297705 297705
1100 405877 108172 297705 297705
1110 405877 108172 297705 297705
1120 405877 108172 297705 297705
1130 405877 108172 297705 297705
1140 405877 108172 297705 297705
1150 405877 108172 297705 297705
1160 405877 108172 297705 297705
1170 405877 108172 297705 297705
1180 405877 108172 297705 297705
1190 405877 108172 297705 297705
1200 405877 108172 297705 297705
1210 405877 108172 297705 297705
1220 405877 108172 297705 297705

